CHSA18_Code,CHSA18_Name,C_ADR_7day,C_ADR_8_14day,C_ADR_7day_change,7d_positivity_all,7d_positivity_public,D1_12_coverage,D1_12_17_coverage,D1_18_coverage,D1_18_49_coverage,D1_50_coverage,D2_12_coverage,D2_12_17_coverage,D2_18_coverage,D2_18_49_coverage,D2_50_coverage
1260,Grand Forks,27.0,49.0,-22.0,14.0,15.0,77.0,57.0,79.0,67.0,84.0,69.0,48.0,71.0,53.0,79.0
1270,Kettle Valley,8.0,38.0,-30.0,11.0,12.0,69.0,41.0,71.0,62.0,75.0,60.0,24.0,62.0,47.0,69.0
1310,Southern Okanagan,21.0,12.0,9.0,13.0,15.0,87.0,71.0,88.0,84.0,90.0,78.0,54.0,80.0,70.0,84.0
1320,Penticton,16.0,14.0,2.0,10.0,11.0,85.0,78.0,85.0,78.0,89.0,78.0,64.0,78.0,67.0,85.0
1330,Keremeos,30.0,20.0,10.0,19.0,20.0,79.0,64.0,80.0,77.0,81.0,71.0,46.0,72.0,62.0,76.0
1340,Princeton,16.0,16.0,0.0,12.0,13.0,80.0,64.0,81.0,75.0,85.0,72.0,46.0,73.0,62.0,79.0
1350,Armstrong/Spallumcheen,31.0,40.0,-9.0,22.0,23.0,74.0,55.0,76.0,64.0,84.0,65.0,41.0,67.0,50.0,79.0
1361,Vernon Centre/Coldstream,19.0,27.0,-8.0,10.0,10.0,82.0,74.0,82.0,74.0,89.0,74.0,60.0,75.0,62.0,84.0
1362,North Okanagan/Lumby,22.0,40.0,-18.0,14.0,15.0,75.0,58.0,76.0,63.0,84.0,66.0,44.0,68.0,51.0,78.0
1371,Central Okanagan Rural,13.0,12.0,1.0,11.0,13.0,78.0,63.0,78.0,66.0,85.0,70.0,47.0,71.0,52.0,81.0
1372,West Kelowna,13.0,24.0,-11.0,7.0,8.0,83.0,71.0,84.0,77.0,89.0,75.0,58.0,76.0,65.0,85.0
1373,Lake Country,22.0,41.0,-19.0,13.0,14.0,80.0,66.0,81.0,76.0,86.0,71.0,53.0,73.0,64.0,81.0
1374,Glenmore,17.0,24.0,-7.0,8.0,10.0,87.0,79.0,88.0,85.0,90.0,79.0,67.0,80.0,73.0,86.0
1375,Downtown Kelowna,14.0,23.0,-9.0,7.0,8.0,86.0,72.0,86.0,84.0,88.0,76.0,57.0,77.0,70.0,84.0
1376,Rutland,22.0,24.0,-2.0,12.0,14.0,80.0,67.0,80.0,77.0,84.0,69.0,52.0,70.0,64.0,79.0
1377,Okanagan Mission,13.0,11.0,2.0,8.0,9.0,87.0,84.0,87.0,83.0,91.0,80.0,72.0,81.0,74.0,88.0
1380,Summerland,6.0,20.0,-14.0,4.0,4.0,85.0,75.0,85.0,78.0,90.0,78.0,62.0,79.0,68.0,86.0
1390,Enderby,47.0,45.0,2.0,26.0,27.0,68.0,38.0,70.0,55.0,80.0,60.0,27.0,62.0,42.0,74.0
1420,Salmon Arm,25.0,40.0,-15.0,14.0,15.0,77.0,60.0,78.0,66.0,86.0,69.0,48.0,71.0,54.0,81.0
1431,Kamloops Centre North,20.0,33.0,-13.0,10.0,10.0,83.0,72.0,83.0,77.0,90.0,74.0,58.0,75.0,64.0,85.0
1432,Kamloops Centre South,17.0,23.0,-6.0,8.0,9.0,90.0,84.0,91.0,90.0,92.0,82.0,73.0,82.0,77.0,88.0
1433,Lower Thompson,12.0,30.0,-18.0,7.0,8.0,78.0,62.0,79.0,68.0,86.0,70.0,46.0,72.0,56.0,81.0
1490,Merritt,20.0,14.0,6.0,13.0,14.0,76.0,60.0,77.0,68.0,85.0,67.0,43.0,69.0,54.0,79.0
2121,South Chilliwack,26.0,18.0,8.0,8.0,10.0,80.0,69.0,81.0,74.0,88.0,73.0,58.0,74.0,64.0,84.0
2122,North Chilliwack,29.0,30.0,-1.0,11.0,12.0,73.0,58.0,74.0,66.0,82.0,64.0,44.0,66.0,55.0,78.0
2131,Central Abbotsford,25.0,13.0,12.0,7.0,8.0,80.0,70.0,80.0,76.0,85.0,70.0,54.0,72.0,64.0,80.0
2132,East Abbotsford,22.0,13.0,9.0,8.0,10.0,83.0,76.0,84.0,80.0,88.0,76.0,63.0,77.0,71.0,84.0
2133,West Abbotsford,11.0,14.0,-3.0,6.0,8.0,87.0,76.0,88.0,87.0,90.0,78.0,61.0,79.0,75.0,85.0
2134,Abbotsford Rural,20.0,18.0,2.0,8.0,10.0,83.0,66.0,84.0,83.0,85.0,73.0,52.0,75.0,71.0,80.0
2141,South Mission,22.0,22.0,0.0,8.0,9.0,78.0,68.0,79.0,72.0,87.0,69.0,55.0,70.0,60.0,81.0
2142,North Mission,20.0,15.0,5.0,8.0,8.0,77.0,66.0,78.0,72.0,84.0,69.0,54.0,70.0,61.0,79.0
2150,Agassiz/Harrison,38.0,47.0,-9.0,18.0,21.0,81.0,64.0,82.0,73.0,89.0,73.0,54.0,74.0,60.0,84.0
2210,New Westminster,8.0,9.0,-1.0,4.0,5.0,90.0,86.0,90.0,91.0,90.0,84.0,76.0,84.0,83.0,86.0
2221,Burnaby Northwest,7.0,10.0,-3.0,2.0,4.0,92.0,88.0,92.0,94.0,90.0,86.0,79.0,86.0,86.0,86.0
2222,Burnaby Northeast,4.0,7.0,-3.0,1.0,2.0,90.0,87.0,91.0,93.0,88.0,84.0,78.0,84.0,84.0,85.0
2223,Burnaby Southwest,8.0,10.0,-2.0,1.0,6.0,90.0,87.0,90.0,92.0,86.0,83.0,76.0,83.0,84.0,82.0
2224,Burnaby Southeast,13.0,11.0,2.0,7.0,10.0,88.0,83.0,89.0,89.0,88.0,82.0,72.0,82.0,81.0,84.0
2231,Haney,7.0,9.0,-2.0,4.0,4.0,84.0,78.0,85.0,80.0,89.0,77.0,68.0,78.0,70.0,85.0
