LHA18_Code,LHA18_Name,C_ADR_7day,C_ADR_8_14day,C_ADR_7day_change,7d_positivity_all,7d_positivity_public,D1_12_coverage,D1_12_17_coverage,D1_18_coverage,D1_18_49_coverage,D1_50_coverage,D2_12_coverage,D2_12_17_coverage,D2_18_coverage,D2_18_49_coverage,D2_50_coverage
111,Fernie,25,20,5,14,15,82,70,83,79,87,73,59,74,67,82
112,Cranbrook,23,25,-2,11,11,81,68,82,74,88,71,55,73,60,83
113,Kimberley,10,7,3,5,5,85,75,86,80,91,77,63,79,68,87
114,Windermere,12,17,-5,8,9,88,71,89,85,91,79,56,80,73,86
115,Creston,19,20,-1,14,16,71,47,72,58,81,61,31,64,45,74
116,Golden,5,23,-18,3,4,89,74,90,91,88,79,61,80,77,84
121,Kootenay Lake,0,15,-15,0,0,72,49,74,57,81,64,33,66,47,75
122,Nelson,7,18,-11,4,5,76,61,77,71,83,68,47,69,60,78
123,Castlegar,7,23,-16,5,5,80,66,81,75,86,72,51,73,62,82
124,Arrow Lakes,11,0,11,11,11,76,51,77,64,83,68,42,70,51,78
125,Trail,13,22,-9,6,7,86,80,87,82,91,79,67,80,71,87
126,Grand Forks,27,49,-22,14,15,77,57,79,67,84,69,48,71,53,79
127,Kettle Valley,11,41,-30,11,12,69,41,71,62,75,60,24,63,47,69
131,Southern Okanagan,21,12,9,13,15,87,71,88,84,90,78,54,80,70,84
132,Penticton,16,14,2,10,11,85,78,85,78,89,77,64,78,67,85
133,Keremeos,30,20,10,19,20,79,64,80,77,81,71,46,72,62,77
134,Princeton,16,16,0,12,13,80,64,81,75,85,72,46,73,62,79
135,Armstrong/Spallumcheen,31,40,-9,22,23,74,55,76,64,84,65,41,67,50,79
136,Vernon,19,30,-11,10,11,80,71,81,72,88,72,57,73,60,83
137,Central Okanagan,16,23,-7,9,10,84,73,84,80,88,75,60,76,68,84
138,Summerland,6,20,-14,4,4,85,75,85,78,90,78,62,79,68,86
139,Enderby,47,45,2,26,27,68,38,70,55,80,59,27,62,42,74
141,Revelstoke,12,16,-4,11,12,91,79,92,92,92,81,60,82,79,87
142,Salmon Arm,25,40,-15,14,15,77,60,78,66,85,69,48,71,54,81
143,Kamloops,17,28,-11,9,9,85,76,86,82,90,77,63,78,69,85
144,100 Mile House,17,10,7,15,16,73,50,74,58,82,66,35,67,46,77
145,North Thompson,16,16,0,14,16,74,60,75,65,80,66,51,67,54,75
146,Cariboo/Chilcotin,38,52,-14,18,19,72,55,73,64,81,62,38,64,51,75
147,Lillooet,11,11,0,9,11,75,58,76,68,82,66,43,68,55,77
148,South Cariboo,25,49,-24,18,25,75,53,77,66,83,66,31,69,54,77
149,Merritt,20,14,6,13,14,76,60,77,67,85,67,43,69,54,79
211,Hope,24,19,5,9,10,75,56,76,67,81,66,42,67,53,76
212,Chilliwack,27,23,4,9,11,77,64,78,71,85,69,52,71,60,81
213,Abbotsford,18,14,4,7,9,84,73,85,83,88,75,59,77,71,83
214,Mission,21,19,2,8,9,77,67,78,72,85,69,55,70,61,80
215,Agassiz/Harrison,38,47,-9,18,21,81,64,83,73,89,73,54,74,60,84
221,New Westminster,8,9,-1,4,5,90,86,90,91,90,84,76,84,83,86
222,Burnaby,8,10,-2,2,6,90,86,90,92,88,83,76,84,84,84
223,Maple Ridge/Pitt Meadows,8,10,-2,4,5,85,81,86,82,90,78,70,79,72,86
224,Tri-Cities,6,8,-2,3,4,89,86,89,88,90,83,77,83,81,86
231,Langley,16,14,2,6,8,85,80,86,83,90,78,68,79,73,86
232,Delta,4,6,-2,2,3,92,89,92,92,93,86,79,86,82,90
233,Surrey,7,9,-2,4,6,91,84,92,92,92,82,72,83,80,88
234,South Surrey/White Rock,8,8,0,3,4,88,85,88,85,90,82,75,83,77,87
311,Richmond,4,4,0,3,6,89,88,89,92,87,83,80,83,83,83
321,Vancouver - City Centre,9,14,-5,2,7,93,87,93,97,88,86,73,86,88,83
322,Vancouver - Centre North,19,25,-6,6,10,87,80,87,90,83,78,68,79,80,77
323,Vancouver - Northeast,6,7,-1,3,5,94,91,95,97,91,88,83,88,89,88
324,Vancouver - Westside,6,12,-6,2,3,92,91,92,94,89,85,83,85,84,86
325,Vancouver - Midtown,6,8,-2,3,5,94,92,94,96,90,88,84,88,89,87
326,Vancouver - South,6,7,-1,3,5,92,89,92,95,89,86,80,86,86,86
331,North Vancouver,6,8,-2,2,4,92,92,92,92,92,87,83,87,85,89
332,West Vancouver/Bowen Island,5,7,-2,2,4,88,88,88,85,90,82,77,83,77,86
333,Sunshine Coast,2,2,0,3,4,86,77,86,78,90,79,62,79,67,86
334,Powell River,1,3,-2,1,1,82,72,83,73,88,75,56,76,60,84
335,Howe Sound,10,10,0,3,5,93,84,94,94,93,83,68,84,82,88
336,Bella Coola Valley,18,18,0,11,12,73,56,75,68,81,65,46,67,58,75
337,Central Coast,0,0,0,0,0,97,89,97,98,96,91,81,92,91,93
411,Greater Victoria,11,7,4,8,9,93,91,93,93,93,86,79,87,84,89
412,Western Communities,5,5,0,3,4,89,86,89,86,92,81,72,82,76,89
413,Saanich Peninsula,6,5,1,5,6,93,92,93,90,95,89,82,89,83,92
414,Southern Gulf Islands,6,9,-3,6,7,85,74,85,75,90,79,62,80,65,86
421,Cowichan Valley South,16,22,-6,8,9,84,78,85,77,90,76,62,78,66,86
422,Cowichan Valley West,6,43,-37,6,6,79,68,80,68,87,71,51,72,54,82
423,Cowichan Valley North,5,13,-8,4,5,86,75,86,78,91,79,60,80,67,88
424,Greater Nanaimo,5,7,-2,4,5,86,81,87,82,90,79,68,79,71,87
425,Oceanside,4,4,0,4,5,86,74,86,74,91,80,60,81,62,88
426,Alberni/Clayoquot,19,15,4,14,16,83,70,84,79,89,74,55,76,66,84
431,Comox Valley,4,5,-1,4,5,85,75,85,78,90,77,61,79,66,87
432,Greater Campbell River,5,13,-8,4,5,84,75,85,77,90,76,62,77,65,86
433,Vancouver Island West,0,0,0,0,0,79,63,81,73,85,73,49,74,62,81
434,Vancouver Island North,4,3,1,4,5,82,70,83,78,88,74,53,76,67,83
510,Haida Gwaii,0,0,0,3,4,88,82,88,85,91,80,67,81,75,86
512,Prince Rupert,8,2,6,10,11,86,75,87,83,90,75,56,77,70,85
513,Upper Skeena,52,26,26,16,17,80,60,82,78,86,70,43,73,66,78
514,Smithers,58,82,-24,20,20,74,55,76,70,83,64,41,66,56,77
515,Kitimat,15,5,10,16,18,96,68,99,99,99,81,48,84,78,90
517,Terrace,18,11,7,15,16,81,66,83,78,88,71,50,73,65,81
518,Nisga'a,24,8,16,10,10,86,79,87,84,90,75,47,79,74,83
521,Quesnel,47,31,16,24,25,73,58,75,66,82,63,44,65,51,76
522,Burns Lake,34,41,-7,18,18,72,49,74,67,80,64,36,66,56,75
523,Nechako,79,58,21,27,28,69,48,71,62,79,59,33,61,49,73
524,Prince George,36,33,3,20,22,81,69,82,78,87,71,56,73,64,82
531,Peace River South,33,33,0,23,24,60,37,62,53,74,50,25,52,40,67
532,Peace River North,31,26,5,18,24,62,39,64,58,75,51,28,54,45,68
533,Fort Nelson,39,67,-28,24,26,62,43,64,57,73,52,26,55,44,67
555,Snow Country - Stikine - Telegraph Creek,0,13,-13,0,0,85,60,87,83,90,73,44,75,66,83
