CHSA_CD,CHSA_Name,CHSA_Title,LHA_CD,LHA_Name,LHA_Title,HSDA_CD,HSDA_ID,HSDA_Name,HSDA_Title,HA_CD,HA_ID,HA_Name,HA_Title,CHSA_UR_Class,CHSA_Pop2016,CHSA_AreaKm2, CHSA_Density ,CHSA_IR
1110,Fernie,1110 Fernie,111,Fernie,111 Fernie,11,11 EK,East Kootenay,11 East Kootenay,1,1 IHA,Interior,1 Interior,5 Rural Hub," 15,531 "," 8,043.8 ", 1.93 ,0.3902
1120,Cranbrook,1120 Cranbrook,112,Cranbrook,112 Cranbrook,11,11 EK,East Kootenay,11 East Kootenay,1,1 IHA,Interior,1 Interior,4 Small Urban," 26,248 "," 4,473.7 ", 5.87 ,0.3790
1130,Kimberley,1130 Kimberley,113,Kimberley,113 Kimberley,11,11 EK,East Kootenay,11 East Kootenay,1,1 IHA,Interior,1 Interior,6 Rural," 9,178 "," 4,345.7 ", 2.11 ,0.4143
1140,Windermere,1140 Windermere,114,Windermere,114 Windermere,11,11 EK,East Kootenay,11 East Kootenay,1,1 IHA,Interior,1 Interior,6 Rural," 9,487 "," 10,980.5 ", 0.86 ,0.4496
1150,Creston,1150 Creston,115,Creston,115 Creston,11,11 EK,East Kootenay,11 East Kootenay,1,1 IHA,Interior,1 Interior,6 Rural," 12,634 "," 3,793.9 ", 3.33 ,0.4155
1160,Golden,1160 Golden,116,Golden,116 Golden,11,11 EK,East Kootenay,11 East Kootenay,1,1 IHA,Interior,1 Interior,6 Rural," 6,851 "," 13,347.1 ", 0.51 ,0.4680
1210,Kootenay Lake,1210 Kootenay Lake,121,Kootenay Lake,121 Kootenay Lake,12,12 KB,Kootenay Boundary,12 Kootenay Boundary,1,1 IHA,Interior,1 Interior,6 Rural," 3,209 "," 6,543.2 ", 0.49 ,0.4555
1220,Nelson,1220 Nelson,122,Nelson,122 Nelson,12,12 KB,Kootenay Boundary,12 Kootenay Boundary,1,1 IHA,Interior,1 Interior,6 Rural," 25,523 "," 4,809.4 ", 5.31 ,0.3976
1230,Castlegar,1230 Castlegar,123,Castlegar,123 Castlegar,12,12 KB,Kootenay Boundary,12 Kootenay Boundary,1,1 IHA,Interior,1 Interior,5 Rural Hub," 13,710 "," 1,942.6 ", 7.06 ,0.3856
1240,Arrow Lakes,1240 Arrow Lakes,124,Arrow Lakes,124 Arrow Lakes,12,12 KB,Kootenay Boundary,12 Kootenay Boundary,1,1 IHA,Interior,1 Interior,6 Rural," 4,501 "," 7,392.0 ", 0.61 ,0.4668
1250,Trail,1250 Trail,125,Trail,125 Trail,12,12 KB,Kootenay Boundary,12 Kootenay Boundary,1,1 IHA,Interior,1 Interior,4 Small Urban," 19,367 "," 1,131.2 ", 17.12 ,0.3822
