header,Meaning
m_0_4,Male Age group: 0 to 4
m_5_9,Male Age group: 5 to 9
m_10_14,Male Age group: 10 to 14
m_15_19,Male Age group: 15 to 19
m_20_24,Male Age group: 20 to 24
m_25_29,Male Age group: 25 to 29
m_30_34,Male Age group: 30 to 34
m_35_39,Male Age group: 35 to 39
m_40_44,Male Age group: 40 to 44
m_45_49,Male Age group: 45 to 49
m_50_54,Male Age group: 50 to 54
m_55_59,Male Age group: 55 to 59
m_60_64,Male Age group: 60 to 64
m_65_69,Male Age group: 65 to 69
m_70_74,Male Age group: 70 to 74
m_75_79,Male Age group: 75 to 79
m_80_84,Male Age group: 80 to 84
m_85_89,Male Age group: 85 to 89
m_90_94,Male Age group: 90 to 94
m_95_99,Male Age group: 95 to 99
m_100,Male Age group: 100+
f_0_4,Female Age group: 0 to 4
f_5_9,Female Age group: 5 to 9
f_10_14,Female Age group: 10 to 14
f_15_19,Female Age group: 15 to 19
f_20_24,Female Age group: 20 to 24
f_25_29,Female Age group: 25 to 29
f_30_34,Female Age group: 30 to 34
f_35_39,Female Age group: 35 to 39
f_40_44,Female Age group: 40 to 44
f_45_49,Female Age group: 45 to 49
f_50_54,Female Age group: 50 to 54
f_55_59,Female Age group: 55 to 59
f_60_64,Female Age group: 60 to 64
f_65_69,Female Age group: 65 to 69
f_70_74,Female Age group: 70 to 74
f_75_79,Female Age group: 75 to 79
f_80_84,Female Age group: 80 to 84
f_85_89,Female Age group: 85 to 89
f_90_94,Female Age group: 90 to 94
f_95_99,Female Age group: 95 to 99
f_100,Female Age group: 100+
total_pop,Total population
total_f,Total number of females
total_m,Total number of males
percent_f,Percentage of females
med_age,Median age
percent_aboriginal,Percentage of people with Aboriginal identity
percent_south_asian,Percentage of South Asians
percent_chinese,Percentage of Chinese
percent_black,Percentage of Blacks
percent_filipino,Percentage of Filipinos
percent_latin_american,Percentage of Latin Americans
percent_arab,Percentage of Arabs
percent_south_east_asian,Percentage of South East Asians
percent_west_asian,Percentage of West Asians
percent_korean,Percentage of Koreans
percent_japanese,Percentage of Japanese
percent_minority,Percentage of other visible minority
percent_white,Percentage of Whites
percent_immigrant,Percentage of immigrants
percent_recent_immigrant,Percentage of recent immigrants
percent_no_eng_fra,Percentage of population who speak neither English nor French
percent_refugee,Percentage of refugees
percent_married,Percentage of people (15+) married
percent_never_married,Percentage of people (15+) never married
percent_divorced,Percentage of people (15+) divorced
percent_separated,Percentage of people (15+) separated
percent_widowed,Percentage of people (15+) widowed
single_parent_families,Total lone-parent families
avg_household_size,Average household size
total_private_dwellings,Total - Occupied private dwellings
percent_detached_houses,Percentage of single detached houses
percent_renters,Percentage of people renting
percent_dwellings_need_repairs,Percentage of dwellings in need of major repairs
percent_household_30pct_income_shelter,Percentage of households with 30% or more of income spent on shelter
percent_pop_moved_last_5_yrs,Percentage of the population in 2016 who moved in the past 5 years
median_total_income,Median total income of households in 2015 ($)
low_income_prevalence,Prevalence of low income
percent_less_than_high_school,Percentage of people (15+) with less than high school education
percent_high_school,Percentage of people (15+) with a secondary (high) school diploma
percent_postsecondary,Percentage of people (15+) with a postsecondary education
employment_rate,Employment rate among people (15+)
percent_commute_car,Percentage of people (15+) commuting to work by car
percent_commute_transit,Percentage of people (15+) commuting to work by public transit
percent_commute_walk,Percentage of people (15+) commuting to work by walking
percent_commute_bike,Percentage of people (15+) commuting to work by bicycle
percent_commute_other,Percentage of people (15+) commuting to work by other means
percent_commute_over_hour,Percentage of people (15+) commuting to work for 60+ mins
